instruction,response,category
كيفاش نطلع رخصة بناء؟,"الموضوع يتطلب دوسي كامل يتقدم للبلدية:
1. تصميم معماري (Plan) مصادق عليه من مهندس معماري.
2. شهادة ملكية للأرض.
3. وصل خلاص الأداءات البلدية (الزبلة والخروبة).
4. تعمير مطبوعة المطلب وسداد معاليم الرخصة.
5. الملف يتعدى على لجنة فنية تاخد وقت باش تجاوبك.",task_oriented
شنوة نعمل لو كان الـ بي في ولا طلع فشلة؟,حتى الـ فشل هو نتيجة علمية. فسر علاش الـ فرضيات متاعك ما نجحتش وشنوة تعلمت من الـ تجربة. الـ جوري يقدر الـ صدق الـ علمي.,student_life
كيفاش نتعلم الـ دفلبمون ويب من الصفر؟,تطوير الويب فيه طريق واضح. ابدأ بالـ Frontend: تعلم HTML (هيكل الموقع)، CSS (الزينة والتنسيق)، وJavaScript (اللي يخلي الموقع يتحرك). بعد ما تتمكن منهم، تعلم Framework كيما ريأكت ولا Vue.js. إذا تحب تكمل للـ Backend (الكواليس)، تعلم بايتون مع Django ولا Node.js. لازمك زادة تتعلم كيفاش تتعامل مع قواعد البيانات (SQL). أهم حاجة هي التطبيق: اصنع موقعك الشخصي، ولا حتى موقع صغير متاع قضية. ثمة مواقع كيما 'FreeCodeCamp' و'The Odin Project' يعاونوك برشا ومجانيين.,task_oriented
يا دكتور، عندي نفخة في كرشي ديما، وساعات إسهال وساعات إمساك، وكرشي تمخض عليا كي نتغشش، شنوة الحل؟,اللي عندك يتسمى 'المصران الغليظ' ولا القولون العصبي (Colon irritable). هو موش مرض خطير، أما المصران حساس برشا للستريس ولأنواع معينة من الماكلة. جرب نقص من البقول (حمص، لوبيا) ومن المشروبات الغازية، وحاول ارتاح نفسياً. فما أدوية ترخف تشنج المصران وتنقص الغازات، أما أهم دواء هو الماكلة المنظمة والراحة.,advice_guidance
بعد نهار تعب وسهر، نمت وفقت مفزوع بوجيعة في صدري وركبتي تكبست، تخوف؟,هذا اجهاد وتعب 'عصبي'. كِي تبدأ تعبان برشة وموش راقد، البدن يعمل ردات فعل تشنجية وقت النوم. ارتاح وارقد مليح وتو ما عادش يرجعلك.,advice_guidance
نحب نطلع بطاقة كنام، شنوة الأوراق؟,"لازمك تحضر ملف فيه:
1. نسخة من بطاقة التعريف الوطنية.
2. نسخة من عقد الشغل ولا شهادة في الأجر.
3. مضمون ولادة للزوج والزوجة والأبناء.
4. تعمر المطبوعة الخاصة باختيار منظومة العلاج (طبيب عايلة ولا منظومة عمومية).
5. تهز الملف لأقرب مركز للصندوق الوطني للتأمين على المرض.",task_oriented
تنجم تقلي شنوّة يتقال للواحد اللي يحب يظهر روحه غني وهو ما عنده حتى فرنك؟,يقولوا 'العريان يلوّج على الخاتم'. مَثَل يضحّك أما فيه وجيعة، يتقال للشخص اللي يلوّج على الكماليات والزينة وهو الحاجات الأساسية موش لاحق عليها، نوع من 'الفيس' الفارغ.,cultural_knowledge
كيفاش نتصرف مع شخص ديما يقطعلي كلامي وقت اللي نحكي؟,كمل جملتك بهدوء ووضح له اللي انت مازلت ما كملتش الفكرة متاعك. اطلب منه بكل لطف يستنى دورة في الكلام باش تكون المحادثة منظمة ومفيدة للطرفين.,advice_guidance
شنيّة المَثَل إلّي يتقال كِي واحد يجي يذم في إنسان شريف ونظيف، وهو بيده غارق في الخنار وعيوبه لا تُحصى؟,يقولوا 'الْغَرْبَالْ يَضْحَكْ عَلَى الرِّبْحَة، وهُوَ كُلُّهْ نْقُوبْ'. يعني العبد اللي عيوبه ظاهرة للناس الكل ما عندوش الحق يلوم غيره ولا ينقده، كأنّ الغربال اللي كله ثقوب يحب يطلع عيب في الربحة (إناء نظيف).,cultural_knowledge
عندي مشكلة في النوم، نقعد بالسوايع نتقلب في الفرش ومخي ما يسكتش، ونقوم الصباح مهدود وتعبان. فمة دواء ولا حل طبيعي؟,الأرق (أرق) ديما وراه حكاية، يا إما قلق ولا عادات نوم غالطة. حاول تنحي التليفون قبل بساعة من النوم، واعمل وقت قار ترقد فيه وتقوم فيه. تنجم تشرب 'تيزان' (تيزانة) ترخي الأعصاب. إذا المشكلة تواصلت، الطبيب ينجم يوصفلك منشطات للنوم لفترة قصيرة، أما الأهم هو إنك تفرغ مخك من المشاكل قبل ما تحط راسك على المخدة.,advice_guidance
كيفاش نقسموا لفلوس متاع الماتيريال اللي شريناه للبروجي؟,من اللول لازم تعملوا ميزانية واضحة وكل واحد يساهم بلقسط متاعه. احتفظوا بكل الفواتير باش في اللخر تعرفوا قداش صرفتوا بالضبط.,advice_guidance
علاش الألعاب الأولمبية تتعمل كل 4 سنين؟,العادة هذي بدأت من اليونان القديمة، وين كانوا يعملوا مسابقات رياضية كل 4 سنين تكريماً للآلهة متاعهم (حسب معتقداتهم وقتها). الفترة هذي (4 سنين) كانوا يسميوها 'أولمبياد'. كي رجعت الألعاب الأولمبية الحديثة في 1896، خباو نفس النظام كنوع من احترام التاريخ والتقاليد الرياضية القديمة.,general_knowledge
تنجم تقلي علاش النساء قبل كانوا يحبوا يعرسوا في فيسع حتى لو الراجل ظروفه متوسطة؟,يقولوا 'ظل راجل، ولا ظل حيط'. حماية الرجل وكنفه خير من أي حماية أخرى مادية كانت.,cultural_knowledge
ركايبي يطقطقوا برشا كي نطلع في الدروج ووجيعة خفيفة ساعات، هل هذا روماتيزم وأنا مازلت صغير؟,الطقطقة وحدها موش مشكلة، أما مع الوجيعة تنجم تكون بداية 'احتجاج' من الغضروف. تنجم تكون من قلة الحركة، ولا وزن زايد يضغط على الركبة، ولا حتى سبادري موش مريح. قوي عضلات فخادك باش يهزوا الحمل على الركبة، وإذا الوجيعة تزيد وتعمل 'تنفاخ'، وقتها لازم راديو باش نثبتوا في المفاصل.,advice_guidance
التابلات تبلوكات وما حبتش تتسكر، كيفاش نعمل Force Restart؟,"باش تفرض عليها تعاود تشعل:
1. انزل في نفس الوقت على زر 'Power' وزر 'Volume نقص الصوت.
2. ابقى نازل مدة 10 لـ 15 ثانية حتى تطفى الشاشة ويظهر اللوغو.
3. كان ما خدمتش، جرب انزل على 'Power' وحدو لمدة طويلة (30 ثانية).
4. حطها في الشارج واستنى شوية، ساعات تبلوكي خاطر البطارية طاحت جملة.",task_oriented
شنوّة هو الأكسجين؟ وعلاش مانجموش نعيشوا بلاش بيه؟,الأكسجين هو 'الوقود' متاع الخلايا. خلايا بدنك تحرق الماكلة (السكر) باش تطلع منها طاقة، والعملية هذي لازمتها أكسجين باش تصير (Combustion). بلاش أكسجين، المعامل اللي في وسط خلاياك تاقف، والبدن ما عادش يلقى طاقة باش يخدم القلب ولا المخ، فتموت الخلايا في دقايق.,general_knowledge
عندي فوبيا من الدم ولا من الزرارق، غير نشوفهم ندوخ. كيفاش نجم نعدي ولا نعمل تحاليل؟,هذا نوع من الفوبيا يتسمى 'رهاب الدم والحقن'. الميزة متاعو إنو ضغط الدم يطيح (عكس الفوبيات لخرى). الحل إنك تتعلم تقنية 'شد applied tension كي تجي باش تعمل زريقة باش ضغطك ما يطيحش وما تدوخش. احكي للممرض قبل ما يبدأ وهو توة يعرف كيفاش يتعامل معاك ويلهيك.,advice_guidance
الشارجور متاع التيليفون رزين برشا في الشحن، شنوة المشكل؟,"المشكل ينجم يكون من برشا حاجات:
1. ثبت في الكابل (Cable USB) بالكشي مقطع ولا قديم، جرب كابل آخر.
2. نظف 'الپورت' (Port de charge) متاع التيليفون بـ 'cure-dent' بلطف، بالكشي فيه غبرة.
3. تأكد اللي Tête de chargeur هي الأصلية متاع التيليفون.
4. إذا قعد رزين، جرب تشرجي من بريز حيط مش من البيسي.",task_oriented
ضعفت برشا وليت نحشم نلبس حوايج ضيقة.,كل بدن وعنده جماله. المهم صحتك تكون لاباس. كول حاجات مغذية، واعرف اللي القالب مش هو الفايدة، الفايدة في الروح اللي تضحك.,emotional_support
علاش كِي نبرد ولا نتفجع، لحمي يشوك؟,هذي حركة لاإرادية من البدن! العضلات الصغيرة اللي لاصقة في منابت الشعر تتكبز باش توقف الشعرة. قديماً كان الهدف منها صنع طبقة هواء تحمي من البرد ولا باش يبان البدن أكبر وقت كيف القطاطس، وتوا بقات علامة اللي بدنك قاعد يتفاعل مع المحيط.,advice_guidance
علاش التوانسة يستعملوا الكروية أكثر من الكمون في الكسكسي؟,في تونس الكروية هي رفيقة خاصة العلوش والصلصة الحمراء، تعطي بنة خاصة وتنقص من حدة ليدام، أما الكمون فنخلوه للحوت واللبلابي والشكشوكة باش ما يمررش المرق.,cultural_knowledge
تنجم تقلي شنوا أحوال جيرانكم الجدد؟,ناس طيبة ومحترمين، ما شفنا منهم كان الباهي.,everyday_conversation
تنجم تقلي كيفاش نعرف الصحبة بالرسمي؟,الصاحب يبان في وقت الضيق موش في وقت الضحك، اللي يلقاك وقت ما تستحقلو هو الصاحب.,everyday_conversation
نستعمل في حرابش ياز بلس وما نحبش الدورة تهبط في عرسي، شنوة نعمل؟,باش توقف الدورة، لازمك تواصل الباكو الجديد ديريكت من غير ما تاخذ الحرابش البيضاء (الوهمية) اللي في آخر الباكو. هكا الدورة ما تهبطش.,advice_guidance
شنوة الفرق بين بطلان الزواج والطلاق؟,البطلان يعني العرس من أصله ما كانش صحيح (مثلا عرس من غير شهود ولا تعدد زوجات)، أما الطلاق هو إنهاء لعلاقة كانت صحيحة وقانونية.,general_knowledge
الـ كولابوراسيون مع لـ بروف تعاون في الـ روشيرش؟,تعاونك برشة باش تنشر 'ارتيكل' وتفهم الـ 'موند اكاديميك'. إذا البروف شافك Motivé، ينجم يعاونك في 'بورس' ولا 'دكتوراه'.,student_life
عندي مشكلة مع الماكلة، نخاف لا نسمن وليت نوزن في روحي كل ساعة وما ناكل كان شوية سلطة. بدني ضعف برشا وأنا مازلت نرى روحي سمينة. شنوة نعمل؟,هذا اضطراب خطير يتسمى anorexie. أنت ترى في روحك بطريقة مش حقيقية (distorsion de l'image corporelle). الحالة هذي تستوجب تدخل طبي عاجل (طبيب نفساني وأخصائي تغذية) خاطر تنجم تضر قلبك وأعضاءك. لازمك تفهم اللي قيمتك مش في الميزان متاعك، وتحاول تعالج الأسباب النفسية اللي خلاتك ترفض الماكلة.,advice_guidance
تنجم تحكيلي على تاريخ الدولة الصنهاجية في تونس؟,"الدولة الصنهاجية بدات كي مشاو الفاطميين لمصر وخلاو 'بلكين بن زيري الصنهاجي' يحكم في تونس (إفريقية). بلكين ركّح لبلاد وقضى على الثورات وحكم تونس وجزء من المغرب.

في القرن 11، صارت انقسامات وخرج والي 'أشير' على حكم الصنهاجيين، وهكا بدات تضعف دولتهم وقعدت محصورة كان في تونس وصقلية. 
في وقتهم تونس ازدهرت برشة في الفلاحة والبنيان، والقيروان ولات منارة للعلم. 
أما في عام 1045، كي أعلن المعز بن باديس انفصاله على الفاطميين، بعثوله القبائل الهلالية (بنو هلال وبنو سليم) اللي دمروا الدولة وخرّبوا القيروان، ومن بعد تقسمت لبلاد لدويلات صغيرة كيف 'بنو خرسان' في تونس و'بنو الورد' في بنزرت.",cultural_knowledge
عملت تحليل جرثومة المعدة بالدم وطلع سلبي، ياخي التحليل هذا صحيح؟,تحليل الدم يوري 'الأجسام المضادة' القديمة. الأصح هو 'تحليل النفس' (Breath Test) ولا 'تحليل البراز'. كان عندك وجيعة في فم المعدة، عاود واحد منهم باش تتأكد.,advice_guidance
شنوة هو الذهب الأبيض وصحيح هو أغلى من الذهب الأصفر؟,الذهب الأبيض هو في الأصل ذهب أصفر مخلط بمواد أخرى كيف 'النيكل' ولا 'البلاديوم' باش يولي لونه هكة، ويزيدوا يغطسوه في مادة 'الروديوم' باش يلمع. السوم يعتمد على قداش فيه 'قيراط' (ذهب صافي)، أما برشا ناس يفضلوه خاطر منظره عصري وأرصن شوية، والبلاديوم المستعمل فيه ينجم يغلي في سومه.,general_knowledge
شنوّة معناها سنة كبيسة وعلاش نزيدو نهار كل 4 سنين؟,الأرض ما تدورش بحذا الشمس في 365 يوم بالضبط، هي تزيد عليهم **6 ساعات** تقريباً. كِي نلموا 6 ساعات كل عام، بعد 4 سنين يوليو 24 ساعة. نزيدوه في شهر فيفري باش يبقى 'التقويم' متاعنا ماشي مع 'الفصول' وما يهربش الوقت.,general_knowledge
علاش مريض الذهان ساعات يضحك في جنازة ولا يبكي في فرح؟,هذا يتسمى 'تبلد الوجدان' ولا مشاعر مش متطابقة مع الموقف. المريض مخو ما عادش يربط الإحساس بالواقع اللي داير بيه.,general_knowledge
كيفاش نجم نحجز Taxi Touristique لمشوار طويل؟,"للمشاوير الطويلة (سفرات بين المدن)، عندك الطرق هاذي:
1. لوج في تطبيقات كيما 'Bolt' ولا 'Indriver' (بعضهم يقبل مشاوير طويلة).
2. امشي لمحطة التاكسيات الكبيرة واسأل الشوافرية اللي يخدموا 'Course longue distance'.
3. اتفق على السوم بالمسبق (Forfait) مش بالكونتور، خاطر الكونتور يغلى برشا لبرا مالبلاصة.",task_oriented
عندي 5 سنين عرس وما حبلتش، رغم اللي تحاليلي وتحاليل راجلي الكل مريڨلة، علاش؟,هذا يتسمى 'عقم غير مفسر'. ساعات البويضة والحيوان المنوي ما يتفاهموش لسبب مخفي. في الحالة هذي، 'أطفال الأنابيب' تكون أحسن حل باش تضمن النتيجة.,advice_guidance
آما خير، الواحد يشري دار في بلاصة شعبية ويكريها؟,الاستثمار في العقارات الشعبية (Quartiers populaires) ذكي خاطر الطلب على الكراء غاديك ديما موجود وعالي، وسوم الشراء يكون معقول. العائد على الاستثمار (Yield) ينجم يكون أحسن من المناطق الراقية. المشكلة تنجم تكون في 'نوعية' الكرّاي وصيانة الدار. إذا تلوج على دخل شهري مستمر ومضمون، الأحياء الشعبية النشيطة خيار ممتاز. ديما ثبت في الأوراق القانونية وحالة البنية الأساسية.,opinions_recommendations
عندي كورة صغيرة في ظهري طلعتلي بعد التمارين، شنوة هذي؟,تنجم تكون 'كيس دهني' (Lipome) ولا تشنج عضلي كبّر العضلة في بلاصة معينة. لازم طبيب يمسها بيده (جس) باش يعرف نوعها.,advice_guidance
تنجم تقلي كيفاش الليد يضوي وهو ما يسخنش؟,الـ LED يخدم بحاجة تسمى 'أشباه الموصلات' (Semi-conducteurs). الضوء يخرج كِي الالكترونات تنتقل من طبقة لطبقة وتفرغ طاقتها في شكل **'فوتونات' ضوئية ديريكت**. العملية هذي 'باردة' كيميائياً، وما تضيعش الطاقة في 'الاحتكاك' اللي يعمل السخانة في الامبوبات القديمة.,general_knowledge
نحس روحي وليت نغير من جاري خاطر كرهبته ديما نظيفة تلمع.,النظافة باهية أما موش لازم تكون هوس. نظف كرهبتك وقت اللي تنجم، وما تخليش المظاهر تضغط عليك. المهم الكرهبة توصلك وتخدم لاباس.,emotional_support
وقتاش الواحد يحب على الطماطم؟,صالصة الطماطم تلقاه في قاعدة طبخ يومية في كل الكوجينة التونسية.,cultural_knowledge
كيفاش نجم نكون افيكاس في الـ روشيرش اونلاين؟,استعمل لـ 'كي-ووردز' (Keywords) الدقيقة. تعلم تستعمل لـ Operators كيما 'AND' و 'OR' في 'قوقل' باش تخرج الـ 'ريزولتا' اللي تحب عليها بـ 'بيسيزيون'.,student_life
ياخي النوم بالشراريب يضعف الشوف؟,خرافة قديمة! الشراريب ما عندها حتى علاقة بالشوف. بالعكس، كِي يدفيو الساقين يخليو الدم يدور بالباهي وتنام نومة مرتاحة.,advice_guidance
نحب نشارك في دي كومبيتيسيون انترناسيونال، كيفاش؟,تبع لـ بلاتفورمات كيما كاقل (للـ داتا) ولا هاكاثونات اللي ينظموهم الشركات الكبار. كون فريق باهي وابدا جرب حظك.,student_life
شنوة نعمل لو كان الـ لوجيسیيل اللي نخدم بيه يتفسخ قبل الـ ديدلاين؟,ديما اعمل 'باك-أب' (Backup) في الـ 'كلاود' (Cloud) كيما (Google Drive) ولا (OneDrive). الـ Save لازم يكون 'اوتوماتيك' باش تتفادى الـ 'كراش' (Crash).,student_life
كرشي ديما منفوخة ونتڨرع بصوت عالي، وشعري يطيح وعندي فشلة في بدني، وزيد الحليب يقلقني، شنوة هذا؟,الأعراض هذي تنجم تكون من المعدة ولا حساسية من حاجة تاكل فيها. لازمك تعمل منظار (Fibroscopie) على المعدة والاثني عشر باش الطبيب يشوف شنوة فمة لداخل بالضبط.,advice_guidance
نحس روحي ديما ضحية، العباد الكل جاية عليا والزمن جابني لوطة. علاش ديما هكة؟,عقلية الضحية تخليك ديما تستنى في شكون ينقذك وتلوم في الظروف. أنت عندك 'قوة' داخلية لازمك تستعملها. ابدأ خوذ مسؤولية حياتك، حتى في الحاجات الصغيرة. بطل لوم الناس وابدأ خمم 'أنا شنوة نجم نعمل توة؟'. العلاج النفسي يعاونك تخرج من الدور هذا وتولي أنت سيد قرارك.,advice_guidance
علاش التوانسة يطيبوا الملوخية في راس العام الهجري؟,الملوخية لونها أخضر، والتونسي يتفائل باللون هذا باش يكون العام 'أخضر' ومعبي بالخير والرزق. وزادة الملوخية تاخذ برشا وقت باش تطيب، وهذا يعلمنا الصبر والتأني في بداية العام. ريحة الملوخية نهار راس العام هي اللي تعلن اللي الدار عامرة والقلوب صافية.,cultural_knowledge
علاش كِي ناكل المرڨاز نحس بوجيعة في مرارتي؟,المرڨاز فيه شحم برشة، والمرارة لازمها تخدم 'Double séance' باش تهضمه. كان فيها حجرة ولا التهاب، باش تصرخ بالوجيعة.,advice_guidance
فمة قلق كِي يقذف الراجل داخل دبر؟,إي نعم، العملية هذي تنجم تعمل بواسير، تمزق في العضلة، وتزيد ريسك الأمراض الجنسية كِيما بوصفير وغيره. هي ممارسة مووش صحية بالكل.,advice_guidance
عندي كحة قوية كل ما ناخذ نفس عميق، الطبيب قالي صدرك لاباس، شنوة تطلع؟,ساعات الكحة تجي من Reflux. الـ 'أسيد' يرجع للحلق ويعمل كحة تشبه لمرض الصدر. جرب دواء المعدة وتو تشوف الفرق.,advice_guidance
شنوة هو قوس مارك أوريل في المدينة العربي بتونس؟,هو المعلم الروماني الوحيد اللي مازال واضح في قلب المدينة العتيقة بتونس جهة باب بحر. القوس هذا كان جزء من مدينة 'تونس' الرومانية القديمة قبل ما تتبنى المدينة الإسلامية. بالرغم اللي هو محاط بالبنيان توا، أما يبقى شاهد على أن تونس العاصمة عندها جذور ضاربة في التاريخ الروماني مش كان الإسلامي.,cultural_knowledge
آما خير، الواحد يسكن في ايتاج أول ولا ايتاج ثالث؟,الايتاج الأول ساهل في الطلوع والهبوط (حتى لو القص الاسنسور)، وقريب للشارع لو تحب تخرج بسرعة، أما تنجم تقلقك الحس والتحركات. الايتاج الثالث أهدأ، إضاءة الشمس فيه أحسن، وما تسمعش حس الكياس برشة، أما يتعب لو ما فماش اسنسور ويسخن شوية أكثر في الصيف. إذا عندك كبار في السن، الأول أضمن. وإذا تلوج على الهدوء والنور، الثالث خير.,opinions_recommendations
كيفاش نتعامل مع المرا باش تكون راضية وهانية في الدار؟,يقولوا 'المرا كيف التمرة، امسحها وكولها'. كناية عن أن المرا تحبّ الملاطفة والعطف ولا تستحق إلى أكثر من ذلك.,cultural_knowledge
نحب نطلع شهادة عدم استخلاص معلوم الجولان؟,"تطلع من القباضة المالية:
1. تخص الكراهب التابعة للدولة ولا البعثات الدبلوماسية ولا ذوي الاحتياجات الخاصة.
2. الاستظهار بالوثائق اللي تثبت الإعفاء.
3. القباضة تسلمك شهادة ولا ورقة تثبت الإعفاء.
4. لازم تكون موجودة ديما مع أوراق الكرهبة وقت الدوريات.",task_oriented
قداش عدد السكان في بورتاج في 2010؟,"كانوا 2,638 ساكن.",general_knowledge
عندي سطر في جنبي اليسار ملوّر وما حبش يتنحى، شكون لازمني نعدي؟,السطر في الجنب ينجم يكون من برشة حاجات: كِلاوي، مصران، ولا حتى عضلة متشنجة. برّ ا ديريكت للاستعجالي يعملولك تحاليل وتصويرة، وهوما يوجهوك للاختصاص الصحيح.,advice_guidance
عيني ولات ضبابة وما عادش نجم نغزر للضوء القوي، ونرا في الألوان باهتة كاينها فما قشرة قدامي؟,إذا كان عمرك فوق الـ 60، تنجم تكون هذي 'الجلالة' (Cataracte). هي عدسة العين تولي عاتمة وما عادش تعدي الضوء مليح. الحل متاعها توه ولى ساهل برشا وعملية بسيطة في ربع ساعة تنحي العدسة القديمة وتحط وحدة جديدة وترجع ترا خير من قبل. لازم طبيب العينين يثبت فيها باش يبرمج لك العملية.,advice_guidance
البيسي متاعي ولا رزين برشا وما يحبش يتحل فيسع. شنوة تنصحني؟,"باش تسرع البيسي، جرب الحاجات هاذم:
1. فسخ البرامج اللي ما تستعملهمش (Désinstaller).
2. نحي البرامج اللي تتحل وحدها مع 'Démarrage'.
3. أعمل 'Nettoyage de disque' باش تفسخ الفيشيات الزايدة.
4. كان قعد رزين، أحسن حل تزيد 'SSD' ولا تهزو لـ 'Réparateur' ينظفو من الغبرة ويصبلوا 'Formatage' جديد.",task_oriented
نحب نولي داتا اناليست، شنوة لـ لوجيسیيلات اللازمة؟,لازمك تطير بالـ (Excel)، SQL، وتتعلم لغة برمجة كيما (Python) ولا (R). زادة أوتيات الـ 'فيزيوالايزيشن' كيما (Tableau) مهمة.,student_life
شنوة هو الـ شركة ناشئة Act وكيفاش عاون الشباب في تونس؟,الـ شركة ناشئة Act هو قانون ثوري خرج في تونس عام 2018، يسهل برشا إجراءات للشباب اللي يحبوا يحلوا شركات ناشئة. يعطيهم امتيازات ضريبية، يسهلهم التعامل بالعملة الصعبة، ويعطي 'منحة بعث مشروع' للمتخرجين. بفضله، تونس ولات من أحسن الوجهات في أفريقيا للابتكار التكنولوجي.,storytelling
شنوة هي القناوية وكيفاش تطيب؟,القناوية هي 'البامية'، يطيبوها التوانسة مرقة حمراء بڨري ولا علوش، وسرها إنها تتقلى شوية في الزيت قبل ما تتحط في المرقة باش ما تسيبش المادة اللزجة متاعها.,cultural_knowledge
تنجم تقلي شنوة مشطة العروسة؟,هي طريقة تزيين شعر العروسة ولبس التاج والجوهر، وفي كل جهة فما 'مشطة' خاصة بها تعكس تراث المنطقة.,cultural_knowledge
شنوة الفرق بين الـ Hardware والـ Software في الكمبيوتر؟,بكل بساطة: الـ 'Hardware' هو كل حاجة تنجم تضربها بيدك (الشاشة، الكلافيي، الموتور لداخل)، والـ 'Software' هو كل حاجة تنجم تسبها بلسانك كي السيستيم، الويندوز، الفايسبوك. الهاردوير هو 'البدن' والسوفتوير هو 'الروح' والذكاء اللي يحرك الماكينة.,general_knowledge
بنتي بدأت تشول بعينها اليمين ساعات كي تتعب، هل تتصلح وحدها كي تكبر؟,لا، الحوَل عند الصغار ما يتصلحش وحده ولازم يشوفها طبيب عينين في أقرب وقت. إذا استنيت، العين اللي تميل تنجم تولي 'عاجزة' (Amblyopie) والمخ يولي ما عادش يستعملها. الطبيب ينجم يعطيها 'نظارات' ولا يعمل لها 'تغطية' للعين الصحيحة باش يقوي العين الأخرى، والنتائج تكون ممتازة كي تبدأ بكري.,advice_guidance
المرا المطلقة تنجم ترجع لدار راجلها في العدة؟,القانون يقول اللي المطلقة تقعد في دار الزوجية مدة العدة إذا كان الطلاق موش بسببها هي، والزوج يلزمه يوفرلها السكنى.,general_knowledge
شنوّة معناها سنة كبيسة وعلاش نزيدو نهار كل 4 سنين؟,الأرض ما تدورش بحذا الشمس في 365 يوم بالضبط، هي تزيد عليهم **6 ساعات** تقريباً. كِي نلموا 6 ساعات كل عام، بعد 4 سنين يوليو 24 ساعة (نهار كامل). نزيدوه في شهر فيفري باش يبقى 'التقويم' متاعنا ماشي مع صيف، شتاء وما يهربش الوقت.,general_knowledge
شكونو حمادي العقربي اللي يقولوا عليه ساحر الأجيال؟,حمادي العقربي هو أسطورة النادي الصفاقسي والمنتخب. كان فنان كورة، يراوغ بطريقة سحرية كأنو الكورة لاصقة في ساقو. كان إنسان متواضع برشة ومحبوب من الجمعيات الكل، موش كان في صفاقس. هو مثال للعب النظيف والفن الراقي.,cultural_knowledge
كيفاش الثلج الشايح ما يذوبش ويولي ماء؟,الثلج الشايح ماهوش ماء مثلج، هو **ثاني أكسيد $CO_2$ في حالة صلبة** (في درجة -78). الميزة متاعو إنو يعمل حاجة تسمى **'تسامي' (Sublimation)**، يعني يتحول من حالة صلبة لغاز ديريكت بلاش ما يتعدى بالحالة السائلة. هذاك علاش يخرج هاك الدخان الكثيف وما يبلش البلاصة.,general_knowledge
شكونهم المالكية وعلاش تونس تتبع المذهب المالي؟,المذهب المالكي هو المذهب الفقهي اللي يتبعوه التوانسة ومعظم سكان المغرب العربي، وهو منسوب للإمام مالك بن أنس. المذهب هذا دخل لتونس بقوة عن طريق فقهاء القيروان وجامع الزيتونة. المذهب المالكي يتميز بأنه ياخذ بـ 'عمل أهل المدينة' وسد الذرائع، وهو اللي طبع الهوية الدينية والاجتماعية في تونس وخلاها وسطية ومعتدلة.,cultural_knowledge
Grève قانوني في تونس؟,إي، حق الإضراب مضمون بالدستور، أما لازم يحترم التراتيب: إعلام مسبق عبر النقابة ومحاولات صلح قبل ما يبدا الإضراب.,general_knowledge
شنومة أيام العطل الرسمية في تونس بالنسبة لموظفي الدولة؟,"هذوما أيام العطل اللي يرتاحوا فيهم جماعة الوظيفة العمومية في تونس:
1) راس السنة الهجرية: نهار
2) المولد النبوي الشريف: نهار
3) عيد الفطر: 3 أيام
4) عيد الأضحى: نهارين
5) راس السنة الميلادية (1 جانفي): نهار
6) عيد الثورة والشباب (14 جانفي): نهار
7) عيد الاستقلال (20 مارس): نهار
8) عيد الشهداء (9 أفريل): نهار
9) عيد 1 ماي: نهار
10) عيد الجمهورية (25 جويلية): نهار
11) عيد المرا (13 أوت): نهار
12) عيد الجلاء (15 أكتوبر): نهار",cultural_knowledge
عملت HIV بعد 15 يوم وطلع سالب، يكفي؟,15 يوم مدة قصيرة. لازم تعاوده بعد 3 أسابيع ولا شهر باش النتيجة تكون مضمونة 100%.,advice_guidance
خرجت لي ولسيسة تحت إبطي، توجع شوية وتتحرك، خفت لا يكون مرض خايب؟,الولسيسة هي 'قشلة' متاع الجهاز المناعي. كي تبدأ توجع فجأة، الاكثرية هي ردة فعل على 'التهاب' قريب منها (جرح في اليد، حبة، ولا حتى بعد تلقيح). إذا كانت توجع وتتحرك، هذا يطمن. أما إذا كانت كابسة، ما توجعش، وتكبر عندها مدة، وقتها لازم طبيب يعمل لها 'إيكو' ولا يخرج منها عينة باش نتأكدوا اللي هي مجرد ولسيسة عادية.,advice_guidance
تنجم تقلي شنوّة يتقال لواحد ديما يتدخّل في اللي ما يعنيهوش ويحشر في خشمو في كل بلاصة؟,يقولوا 'إلّي يربط صبعه، الناس الكل تورهاله الدوا'. المَثَل هذا يتقال للشخص اللي يحب يظهر روحه يعرف كل شيء ويدخل روحه في مشاكل غيره، لدرجة إنّو أي حاجة بسيطة تولي قضية وطنية عند الناس اللي تحب تتدخل.,cultural_knowledge
شنوة هي الملوخية التونسية؟,الملوخية التونسية هي 'سلطانة الكوجينة'، تتعمل من أوراق الملوخية الشايحة والمطحونة. لونها أخضر غامق (يميل للكحولية) وتطيب برشة سوايع (تتخمر) على نار هادية لين تقر زيتها. نطيبوها بالبقر ولا بالكرشة، وناكلها بالخبز، وهي الطبق الرسمي في راس العام الهجري والأعياد.,cultural_knowledge
نحب نطلع رخصة تاكسي جماعي، شنوة الفرق بينها وبين اللواج؟,"التاكسي الجماعي يخدم داخل الولاية في خطوط معينة:
1. المطلب يتقدم للولاية (لجنة النقل).
2. لازم يكون عندك رخصة سياقة مهنية.
3. الكرهبة لازم تكون فيها عدد مقاعد معين (عادة 8).
4. تلتزم بالخط اللي يعطيوهولك وما تنجمش تخرج منو.",task_oriented
