Question,Answer
هناك طائرين وشجرتين. كم عدد الطيور والأشجار مجتمعة؟,4
لديك 9 مجموعات من الألعاب، وكل مجموعة تحتوي على 7 أنواع، وكل نوع يحتوي على 5 قطع. كم عدد القطع الإجمالي؟,315
إذا كان لديك 8 زهور، وأعطيت 3 منها، كم زهرة تبقى لديك؟,5
كم عدد الأرجل في قطة واحدة؟,4
إذا كان لديك 18 كتابًا، وقرأت 6 منها، كم عدد الكتب التي لم تقرأها؟,12
إذا كان عمر الجد 70 سنة وعمر حفيده 1/7 عمر الجد، فكم عمر الحفيد؟,10
إذا كان لديك 80 تفاحة ووزعت ثلاثة أرباعها، كم تفاحة بقيت معك؟,20
إذا كان لديك 19 تفاحة، وأعطيت 4 منها لأصدقائك، كم تفاحة ستبقى لديك؟,15
كم يكون الفرق بين ضعف العدد 20 ونصف العدد 40؟,0
كم عدد الأصابع لدى شخص واحد؟,10
إذا كان لدى تاجر 800 قطعة من البضائع، وباع 1/4 منها في اليوم الأول، و1/3 من الباقي في اليوم الثاني، و1/2 من الباقي في اليوم الثالث، فكم قطعة بقيت معه؟,200
إذا كان لديك 200 دولار، وأنفقت 50 دولارًا على الطعام و30 دولارًا على الملابس، كم تبقى لديك؟,120
إذا كان لديك 260 تفاحة، وأكلت 90 منها، كم تفاحة ستبقى لديك؟,170
لدي 3 أقلام و2 دفاتر. كم عدد الأشياء؟,5
إذا كان لدى مزارع 360 شجرة، وقرر أن يزرع 25٪ منها تفاحًا، و40٪ برتقالاً، و1/6 زيتونًا، والباقي عنبًا، فكم شجرة عنب سيزرع؟,60
إذا كان لديك 48 ريالاً، وأنفقت 43 ريالاً، كم ريالاً سيبقى لديك؟,5
إذا كنت تملك 11 حقيبة ووضعت في كل حقيبة 3 كتب، كم عدد الكتب لديك؟,33
إذا كانت هناك 100 طائرة، و25 منها طائرات شحن و15 منها طائرات خاصة. كم عدد الطائرات الأخرى؟,60
إذا كان عدد صفحات كتاب 200 صفحة وقرأت 75 منها، كم صفحة بقيت؟,125
كم عدد الأبواب في سيارتين؟,8
إذا كان لديك 240 قلماً ووزعت 80 على المدارس، كم قلماً سيبقى معك؟,160
إذا كان لديك 90 كرة، وأعطيت 45 منها لأخيك، كم كرة ستبقى لديك؟,45
إذا كان لديك 3 علب، وكل علبة تحتوي على 5 كرات، وكل كرة تحتوي على 2 ألوان، كم عدد الألوان الإجمالي؟,30
إذا كان لديك 24 تفاحة، وأعطيت 14 منها لأخيك، كم تفاحة ستبقى لديك؟,10
إذا كان هناك 50 طالبًا في الصف، و30 منهم يدرسون الرياضيات و20 يدرسون العلوم. كم عدد الطلاب الذين يدرسون الرياضيات أو العلوم؟,50
إذا كان عمر أحمد 15 سنة وعمر أخته أصغر منه بـ 3 سنوات، كم عمر أخته؟,12
لدي أربعة أقلام ودفتر واحد. كم عدد الأشياء؟,5
اشتريت كتابين وأربعة دفاتر. كم عدد الأشياء التي اشتريتها؟,6
إذا كان لديك 270 ريالاً، وأنفقت 170 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كنت تملك 10 تفاحات و3 منها فاسدة، كم تفاحة صالحة لديك؟,7
لديك 3 ألعاب جديدة. إذا أضفت لعبة جديدة، كم لعبة لديك الآن؟,4
إذا كان لديك 20 دولارًا، وأنفقت 5 دولارات، كم تبقى لديك؟,15
إذا كان لديك 15 زهور، وأعطيت 10 منها لأصدقائك، كم زهرة ستبقى لديك؟,5
وجدت تسع قطع نقود وثلاث أوراق نقدية. كم عدد القطع النقدية التي وجدتها؟,9
إذا كنت في الطابق الخامس وصعدت طابقين، في أي طابق ستكون؟,7
لديك 7 علب طلاء، وكل علبة تحتوي على 4 ألوان. كم عدد الألوان لديك؟,28
إذا كان لديك 10 كرات، وأعطيت 5 منها لأخيك، كم كرة ستبقى لديك؟,5
إذا كان لديك 480 كتاباً، وأعطيت 280 منها لأصدقائك، كم كتاباً سيبقى لديك؟,200
كم عدد الأرجل في 3 طيور و2 حيوانات أخرى؟,14
إذا كنت تملك 4 سيارات لعبة و2 منها مكسورة، كم سيارة سليمة لديك؟,2
في مصنع، ينتج العامل 8 قطع في الساعة. إذا عمل 10 عمال لمدة 6 ساعات يوميًا لمدة 5 أيام، فكم قطعة سينتجون؟,2400
في مكتبة، 30٪ من الكتب روايات، و1/4 كتب علمية، و1/6 كتب أطفال، والباقي كتب تاريخية. إذا كان عدد الكتب التاريخية 70، فكم كتابًا في المكتبة؟,300
لدى سارة ثلاث تفاحات وأربع برتقالات. كم عدد الفواكه لديها؟,7
إذا كان لديك 4 كراسي و2 طاولات، كم عدد الأرجل إذا كانت لكل كرسي 4 أرجل ولكل طاولة 4 أرجل؟,24
إذا كان لديك 90 دولارًا، وأنفقت 30 دولارًا على المواصلات و20 دولارًا على الملابس، كم تبقى لديك؟,40
لديك 4 بالونات. انفجر 1 منها. كم بالونًا تبقى؟,3
إذا كان لديك 315 قطعة نقدية من فئة 1 ريال وأعطيت ثلث هذا العدد لأخيك، كم قطعة نقدية ستبقى لديك؟,210
إذا كان لديك 9 سيارات، وأعطيت 5 منها لأصدقائك، كم سيارة ستبقى لديك؟,4
إذا كنت تملك 6 أقلام زرقاء و4 أقلام حمراء، كم مجموع الأقلام؟,10
إذا كان لديك 40 طالبًا في الصف، و10 منهم غائبون، كم عدد الطلاب الحاضرين؟,30
إذا كانت لديك خمس تفاحات وثلاث برتقالات، كم عدد الفواكه؟,8
إذا كان لديك 150 تفاحة ووزعت 2/3 منها على الأصدقاء، فكم تفاحة بقيت معك؟,50
إذا كان ثمن الكتاب 25 درهمًا وحصلت على خصم 20٪، فكم ستدفع؟,20
إذا كان لديك 12 كرة و4 منها زرقاء، كم عدد الكرات الأخرى؟,8
لديك 5 تفاحات، أكلت 2 ثم اشتريت 3 أخرى. كم تفاحة لديك الآن؟,6
كم عدد الأقدام في 6 كراسي، إذا كان كل كرسي يحتوي على 5 أقدام؟,30
كم عدد الحيوانات إذا كان لديك 4 قطط و3 كلاب؟,7
لديك 8 حلويات وأكلت 3 منها. كم حلوى بقيت؟,5
ما هو العدد الذي إذا أضفت إليه 18 يصبح 75؟,57
لديك 6 أقلام، و3 منها حمراء، كم عدد الأقلام غير الحمراء؟,3
ما هو ناتج قسمة 144 على 12؟,12
إذا كان لديك 8 أقلام و3 منها مفقودة، كم عدد الأقلام المتبقية؟,5
إذا كان لديك 80 قطعة حلوى ووزعتها بالتساوي على 8 أطفال، كم قطعة سيحصل كل طفل؟,10
ما هو العدد الذي إذا ضرب في 5 يعطي 25؟,5
إذا كان لديك 3 مربعات، وكل مربع يحتوي على 4 زوايا، كم عدد الزوايا الإجمالي؟,12
إذا كنت تملك 5 أقلام زرقاء و2 أقلام حمراء، كم مجموع الأقلام؟,7
إذا كان لديك 12 طاولة وكل طاولة تحتوي على 4 كراسي، كم عدد الكراسي الإجمالي؟,48
لديك 25 قطعة حلوى، وزعتها بالتساوي على 5 أطفال. كم قطعة حصل كل طفل؟,5
كم عدد الأقدام إذا كان لديك 2 كراسي و3 طاولات؟,10
لديك حقيبة تحتوي على ثلاثة دفاتر وقلمين. كم عدد الأشياء في الحقيبة؟,5
إذا كان لديك 10 صفوف وكل صف يحتوي على 4 كراسي، وقررت إضافة كرسيين لكل صف، كم عدد الكراسي الإجمالي؟,60
إذا كان لديك 190 كرة، وأعطيت 60 منها لأخيك، كم كرة ستبقى لديك؟,130
إذا كان لديك 150 ريالاً، وأنفقت 80 ريالاً، كم ريالاً سيبقى لديك؟,70
إذا كنت تملك 50 حبة من الفاكهة، وأعطيت 18 منها، كم حبة تبقى لديك؟,32
إذا كان لديك 50 دولارًا وأنفقت 20 دولارًا على الطعام و10 دولارات على الملابس، كم تبقى لديك؟,20
إذا كان لديك 5 صناديق وكل صندوق يحتوي على 12 قطعة، وقررت أن تعطي نصف القطع لأصدقائك، كم قطعة تبقى؟,30
إذا كان لديك 15 كتابًا وأعطيت 5 منها، كم كتابًا تبقى لديك؟,10
لديك 9 علب، وكل علبة تحتوي على 3 أنواع من الألوان، كم عدد الأنواع لديك؟,27
إذا كان لديك 20 قلماً ووزعت 6 منها على أصدقائك، كم قلماً بقي معك؟,14
إذا كان لديك 340 كرة، وأعطيت 150 منها لأخيك، كم كرة ستبقى لديك؟,190
كم مرة يمكن تقسيم العدد 36 على العدد 6؟,6
إذا كان لديك 35 كتاباً، وأعطيت 15 منها لأصدقائك، كم كتاباً سيبقى لديك؟,20
لديك 6 برتقالات و2 تفاح، كم عدد الفواكه التي لديك؟,8
كم عدد الأصابع في يد واحدة؟,5
لديك 255 تفاحة وتلف منها 85. كم تفاحة صالحة بقيت؟,170
إذا كان لديك 32 ريالاً، وأنفقت 27 ريالاً، كم ريالاً سيبقى لديك؟,5
إذا كان لديك 300 درهم وأنفقت 1/6 المبلغ على الطعام و1/4 على الملابس، فكم درهمًا بقي معك؟,175
لديك 5 صناديق وكل صندوق يحتوي على 3 كرات. كم عدد الكرات الكلي؟,15
إذا كان لديك 225 درهماً وأنفقت 75 درهماً، كم درهماً سيبقى معك؟,150
كم عدد الأشخاص إذا كان هناك 5 رجال و4 نساء؟,9
اشترى أحمد كتابين بـ 25 ريالًا لكل كتاب. كم دفع في الإجمالي؟,50
كم يكون 7 × 3؟,21
إذا كان لديك 7 صناديق وكل صندوق يحتوي على 9 كتب، كم عدد الكتب الإجمالي؟,63
إذا كان لديك 100 ورقة، وأعطيت 25 ورقة لأخيك، كم ورقة تبقى لديك؟,75
إذا كان لديك 520 ريالاً، وأنفقت 420 ريالاً، كم ريالاً سيبقى لديك؟,100
في حديقة حيوانات، عدد الزرافات 1/5 عدد القردة. إذا كان هناك 25 زرافة، فكم عدد القردة؟,125
لدي أربعة كتب وثلاثة دفاتر. كم عدد الأشياء التي لدي؟,7
كم يكون العدد إذا أضفت 3 أضعاف العدد 7 إلى نصف العدد 14؟,35
إذا كان لديك 26 كرة، وأعطيت 16 منها لأصدقائك، كم كرة ستبقى لديك؟,10
كم عدد الأقدام في 4 كراسي؟,16
لديك 3 صناديق، كل صندوق يحتوي على 4 كرات. كم عدد الكرات الإجمالي؟,12
إذا كان لديك 6 كعكات وأكلت نصفها، كم كعكة تبقى لديك؟,3
إذا كان لديك 7 كتب وأضفت إليها كتابين آخرين، كم عدد الكتب التي لديك الآن؟,9
إذا كان لدى تاجر 500 قطعة من البضائع، وباع 30٪ منها في اليوم الأول، و25٪ من الباقي في اليوم الثاني، فكم قطعة بقيت معه؟,262
إذا كان لديك 60 دقيقة ومر منها 15 دقيقة، كم دقيقة بقيت؟,45
ما هو الرقم الذي يأتي بعد 99 مباشرة؟,100
ما هو ناتج جمع 7 و 9؟,16
إذا كان لديك 50 ريالًا واشتريت لعبة بسعر 25 ريالًا وأعطيت 5 ريال كهدية، كم ريال تبقى معك؟,20
كم عدد الساعات في اليوم؟,24
ما هو العدد الذي إذا أضفت إليه 15 يصبح 50؟,35
إذا كان هناك 10 طلاب في الصف و3 منهم غائبين، كم عدد الطلاب الحاضرين؟,7
إذا كان لدي 4 صناديق وكل صندوق يحتوي على 7 أقلام، كم عدد الأقلام الإجمالي؟,28
كم مرة يمكن تقسيم العدد 72 على العدد 8؟,9
إذا كان لديك 3 تفاحات و2 برتقالات، كم عدد الفواكه الإجمالي؟,5
إذا كان سعر الكيلوغرام من التفاح 5 دراهم، وسعر الكيلوغرام من البرتقال 7 دراهم، واشترى أحمد 3 كيلوغرامات من التفاح و2 كيلوغرام من البرتقال، فكم درهمًا دفع؟,29
إذا كان لديك ثلاث سيارات، وأعطيت واحدة منها، كم سيارة ستبقى لديك؟,2
لديك 3 سيارات زرقاء و2 سيارات حمراء. كم عدد السيارات لديك؟,5
إذا كان عدد سكان مدينة 500000 نسمة وزاد بنسبة 2٪ سنويًا، فكم سيكون عدد السكان بعد 3 سنوات؟,6316
لديك 18 كرة وقدمت 7 منها لصديقك. كم كرة بقيت لديك؟,11
إذا كان لديك 4 فصول وكل فصل يحتوي على 10 طلاب، وقررت تقسيم الطلاب بالتساوي على 2 معلمين، كم طالبًا يحصل كل معلم؟,20
لديك زجاجة ماء وخمس زجاجات عصير. كم عدد الزجاجات؟,6
لديك ثلاث أقلام وكتاب واحد. كم عدد الأقلام؟,3
إذا كان هناك 50 طائرًا على الشجرة وطار 20 منها، كم عدد الطيور المتبقية؟,30
لديك 850 قلماً ووزعت 370 على الطلاب. كم قلماً بقي معك؟,480
إذا كان لديك 9 صفوف وكل صف يحتوي على 3 مقاعد، كم عدد المقاعد الإجمالي؟,27
لديّ ثلاث بطاقات وستة أقلام. كم عدد البطاقات؟,3
أحمد اشترى 3 أقلام وحقيبة. كم عدد الأشياء التي اشتراها؟,4
لديك 8 أرفف، وكل رف يحتوي على 9 كتب، وكل كتاب يحتوي على 15 صفحة، كم عدد الصفحات الإجمالي؟,6480
كم عدد أرجل الكلب؟,4
لدي 90 ريالاً. إذا أنفقت ثلثي هذا المبلغ، كم ريالاً سأنفق؟,60
إذا كان لديك 20 قلمًا، وأعطيت 6 منها لأصدقائك، كم قلمًا تبقى لديك؟,14
لديك 7 أرفف، وكل رف يحتوي على 8 علب. كم عدد العلب الإجمالي؟,56
كم عدد الألوان في 6 مجموعات من الطلاء، إذا كانت كل مجموعة تحتوي على 14 لونًا؟,84
كم عدد الأرجل لدى طاولة تحتوي على أربع أرجل؟,4
كم عدد الأرجل لدى إنسان واحد؟,2
إذا كان لديك 30 ريالاً، وأنفقت 20 ريالاً، كم ريالاً سيبقى لديك؟,10
لديك 15 صندوقًا، وكل صندوق يحتوي على 8 أقلام، كم عدد الأقلام الإجمالي؟,120
كم يكون الفرق بين نصف العدد 50 وربع العدد 40؟,15
إذا كان لديك 10 أرفف، وكل رف يحتوي على 7 مجموعات من الألعاب، وكل مجموعة تحتوي على 6 ألعاب، كم عدد الألعاب لديك؟,420
إذا كنت تملك 10 ريال وأنفقت 4 ريال، كم ريال بقي لديك؟,6
إذا كان لديك 12 صندوقًا، وكل صندوق يحتوي على 9 أنواع من الحلوى، كم عدد أنواع الحلوى لديك؟,108
إذا ضاعفت العدد 9 ثم أضفت إليه 7، كم يصبح العدد؟,25
لدي 2 دفاتر و3 أقلام. كم عدد الأشياء؟,5
إذا كان لديك 84 تفاحة ووزعتها بالتساوي على 7 أطفال، كم تفاحة سيحصل كل طفل؟,12
لدي 7 حبات عنب و3 تفاحات. كم عدد الفواكه؟,10
إذا كان لدى فاطمة 7 أقلام وأعطت 3 منها لخالد، كم قلمًا بقي معها؟,4
كم عدد أشهر السنة؟,12
إذا كان عمر الأب 40 سنة وعمر ابنه ربع عمره، فكم عمر الابن؟,10
إذا كان لديك 90 سؤالاً وأجبت على 30 منها، كم سؤالاً بقي؟,60
إذا كانت لديك 4 دراجات و2 منها معطلة، كم عدد الدراجات الصالحة؟,2
إذا كنت تحمل أربع كتب وثلاثة أقلام، كم عدد الأشياء التي تحملها؟,7
إذا كنت تملك 7 أقلام وأعطيت 3 منها لصديقك، كم قلمًا بقي لديك؟,4
إذا كان لدي 5 كرات و4 أقلام. كم عدد الأشياء؟,9
إذا كان لديك 9 بيضات وكسرت 2 منها، كم بيضة سليمة بقيت؟,7
إذا كان لديك 4 كرات وكل كرة تساوي 2، فما هو المجموع الكلي؟,8
إذا كان لديك 530 كتاباً، وأعطيت 330 منها لأصدقائك، كم كتاباً سيبقى لديك؟,200
إذا كان لديك 18 تفاحة، وأعطيت 6 منها لأصدقائك، كم تفاحة تبقى لديك؟,12
إذا كان لديك 15 كتابًا، وقرأت 3 كتب في الأسبوع، كم أسبوعًا تحتاج لقراءة جميع الكتب؟,5
إذا كان عدد سكان مدينة 1000000 نسمة وزاد بنسبة 5٪ سنويًا، فكم سيكون عدد السكان بعد سنة واحدة؟,1424
هناك أربعة أبواب ونافذتان. كم عدد الأبواب والنوافذ مجتمعة؟,6
إذا كان لديك 5 أقلام وأعطيت 3 منها لأصدقائك، كم عدد الأقلام التي بقيت معك؟,2
إذا كان لديك 6 طلاب وأعطيتهم 2 أقلام لكل طالب، كم عدد الأقلام التي وزعتها؟,12
إذا كان لديك 5 صناديق، يحتوي كل صندوق على 10 كرات، ثم أضفت 3 كرات لكل صندوق، كم عدد الكرات الكلي الآن؟,65
لديك 5 كرات زرقاء و3 كرات حمراء. كم عدد الكرات التي لديك؟,8
إذا كان لديك خمسة تفاحات وأكلت اثنتين، كم تفاحة ستبقى لديك؟,3
إذا كان لديك 10 أصدقاء، ودعوت 4 منهم فقط، كم عدد الأصدقاء الذين لم تتم دعوتهم؟,6
إذا كان لديك 200 درهم وأنفقت 75 درهماً، ثم حصلت على 50 درهماً إضافياً، كم درهماً أصبح لديك؟,175
إذا كان لديك 15 ريالًا وأنفقت 7 ريالًا، كم ريالًا بقي لديك؟,8
إذا كان لدي 3 تفاحات و3 برتقالات. كم عدد الفواكه؟,6
كم عدد الألوان في 8 أقلام، إذا كان كل قلم يحتوي على 6 ألوان مختلفة؟,48
إذا كان لدي 4 من الكتب و2 من الأقلام. كم عدد الأشياء؟,6
إذا كان لديك 35 كرة، وأعطيت 30 منها لأخيك، كم كرة ستبقى لديك؟,5
إذا كان لديك 28 ريالاً، وأنفقت 23 ريالاً، كم ريالاً سيبقى لديك؟,5
إذا كان لديك 800 درهم وأنفقت ربعها، كم درهماً سيبقى معك؟,600
إذا كان عمر الأب 45 سنة وكان عمره عند ولادة ابنه 28 سنة، فكم عمر الابن الآن؟,17
كم عدد الألوان في 5 مجموعات من الألوان، إذا كانت كل مجموعة تحتوي على 18 لونًا؟,90
لديك 1000 تفاحة ووزعت 450 على المحتاجين. كم تفاحة بقيت معك؟,550
إذا كان لديك 6 مجموعات من الأقلام، وكل مجموعة تحتوي على 4 أقلام، كم قلمًا لديك؟,24
ما هو العدد الذي إذا طرحته من 10 يعطيني 4؟,6
إذا كان لديك 60 تفاحة، وأعطيت 15 تفاحة لكل من 3 أصدقاء، كم تفاحة تبقى لديك؟,15
إذا كانت لديك ثلاث حبات برتقالة وليمونتان، كم عدد الحمضيات التي لديك؟,5
إذا كان هناك 4 مجموعات، كل مجموعة تحتوي على 2 كراسي، كم عدد الكراسي الكلي؟,8
إذا كان لديك 4 زهور، وأضفت 6 زهور جديدة، كم عدد الزهور لديك الآن؟,10
إذا كانت لديك 5 كرات زرقاء و3 كرات حمراء و2 كرات صفراء، كم عدد الكرات الإجمالي؟,10
إذا كان لديك 7 كرات وأعطيت 3 منها، كم كرة ستبقى لديك؟,4
إذا كان لديك 24 ريالاً، وأنفقت 19 ريالاً، كم ريالاً سيبقى لديك؟,5
لدي 4 تفاحات و2 برتقالات. كم عدد الفواكه؟,6
كم عدد الألوان في 4 علب طلاء، إذا كانت كل علبة تحتوي على 18 لونًا؟,72
إذا كان لديك 30 قلماً ووزعت 12 على زملائك، كم قلماً سيبقى معك؟,18
ما هو ناتج ضرب 7 في نفسه؟,49
لديك 4 صناديق، كل صندوق يحتوي على 7 أقلام. كم عدد الأقلام إذا ضاعفتها مرتين؟,56
لدي 10 قطع نقدية من فئة 1 ريال. كم ريالاً لدي بالإجمالي؟,10
إذا كان لديك 100 ريال، وأنفقت 60 ريالاً، كم ريالاً سيبقى لديك؟,40
إذا كان لديك 60 دولارًا، وأنفقت 15 دولارًا على الطعام و10 دولارات على الملابس، كم تبقى لديك؟,35
إذا كان ثمن السيارة 80000 درهم وحصلت على خصم 12.5٪، ثم دفعت ضريبة 5٪ على السعر بعد الخصم، فكم ستدفع في النهاية؟,7964
كم عدد الدقائق في الساعة الواحدة؟,60
إذا كان عمر الأب 40 سنة وعمر ابنه 15 سنة، كم كان عمر الأب عندما ولد ابنه؟,25
إذا كان عدد أيام الأسبوع 7، فكم يومًا في 3 أسابيع؟,21
إذا كان ثمن السيارة 50000 درهم وحصلت على خصم 15٪، فكم ستدفع؟,-23036
إذا كان لديك 20 ريالاً، وأنفقت 10 ريالات، كم ريالاً سيبقى لديك؟,10
لديك 550 تفاحة ووزعت 220 على الأصدقاء. كم تفاحة بقيت معك؟,330
إذا كان لديك 360 تفاحة، وأكلت 160 منها، كم تفاحة ستبقى لديك؟,200
ما هو العدد الذي يزيد عن 20 بثلاثة؟,23
إذا كان لديك 6 تفاحات، وأكلت 2 منها، كم تفاحة ستبقى لديك؟,4
في مزرعة، هناك 15 دجاجة و10 أرانب. كم مجموع الأرجل في المزرعة؟,70
إذا كان لديك 5 كرات وأعطيت واحدة لصديقك، كم كرة تبقى لديك؟,4
إذا كان لديك 80 كتابًا، وقرأت 10 كتب في الأسبوع، كم أسبوعًا تحتاج لقراءة جميع الكتب؟,8
إذا كان لديك 10 أقلام، وأعطيت 2 لأصدقائك، كم قلم تبقى لديك؟,8
كم عدد أيام الأسبوع؟,7
إذا كان لديك 120 كتابًا، ووزعت 40 كتابًا على 4 أصدقاء بالتساوي، كم كتاب يبقى لديك؟,100
إذا كان لديك 10 أقلام وأعطيت 3 لأصدقائك، ثم اشتريت 4 أخرى، كم قلمًا لديك الآن؟,11
كم مرة يمكن تقسيم العدد 81 على العدد 9؟,9
إذا كان لديك 100 قلماً ملوناً وأعطيت ربع هذا العدد لأصدقائك، كم قلماً ملوناً ستبقى لديك؟,75
كم عدد الأذنين لدى ثلاث قطط؟,6
كم عدد الأبواب في 4 منازل؟,8
في حديقة حيوانات، عدد الأسود 1/5 عدد الزرافات، وعدد الفيلة 1/3 عدد الزرافات. إذا كان مجموع الحيوانات الثلاثة 63، فكم عدد الزرافات؟,35
لدى مريم أربع كتب ودفتر واحد. كم عدد الكتب التي لديها؟,4
إذا كان عمر الأم 35 سنة وعمر ابنتها 7 سنوات، فكم كان عمر الأم عندما ولدت ابنتها؟,28
كم عدد الأرجل في 4 حيوانات، إذا كان كل حيوان يحتوي على 4 أرجل؟,16
لديك 20 قلم ملونة. أضعت 3 منها. كم قلم ملون تبقى لديك؟,17
إذا كان لدي 30 كراسة وقررت توزيعها بالتساوي على 6 طلاب، كم كراسة يحصل كل طالب؟,5
لديك 10 دولارات وأنفقت منها 4 دولارات. كم دولارًا يبقى لديك؟,6
إذا كنت تملك 9 علب من الطلاء، وكل علبة تحتوي على 6 ألوان، كم لونًا لديك؟,54
في سباق للجري، قطع المتسابق الأول 3/5 المسافة في 30 دقيقة. إذا كانت المسافة الكلية 25 كم، فكم كيلومترًا يتبقى عليه؟,10
إذا كان عمر الأب 45 سنة وعمر ابنه 15 سنة، فبعد كم سنة سيصبح عمر الأب ضعف عمر ابنه؟,15
كم يكون العدد إذا جمعت نصف العدد 18 مع ثلث العدد 12؟,15
إذا كان لديك 60 سؤالاً وأجبت على 40 منها، كم سؤالاً بقي بدون إجابة؟,20
لديك 5 كرات، وأضفت 4 كرات جديدة. كم عدد الكرات لديك الآن؟,9
في مكتبة، 1/4 الكتب باللغة العربية، و1/3 الكتب باللغة الإنجليزية، و1/6 الكتب باللغة الفرنسية، والباقي بلغات أخرى. إذا كان عدد الكتب بلغات أخرى 100، فكم كتابًا في المكتبة؟,480
إذا كان لديك 12 دزينة من البيض، كم بيضة لديك؟,144
في صف، 1/3 الطلاب يلبسون نظارات. إذا كان عدد الطلاب 30، فكم طالبًا يلبس نظارات؟,10
إذا كان لديك 25 تفاحة، وأكلت 20 منها، كم تفاحة ستبقى لديك؟,5
ما هو الرقم الذي إذا قُسم على 2 يعطي 15؟,30
إذا كان لديك 6 أزواج من الجوارب، كم فردة جورب لديك؟,12
كم عدد الأشهر في نصف سنة؟,6
في سباق للسيارات، قطعت السيارة الأولى 2/5 المسافة في 30 دقيقة، وقطعت السيارة الثانية 3/7 المسافة في نفس الوقت. إذا كانت المسافة الكلية 210 كم، فما الفرق بين المسافة التي قطعتها السيارتان؟,6
لديك 7 تفاحات وأخذت منها 3. كم تفاحة بقيت؟,4
لديك 3 صناديق، كل صندوق يحتوي على 4 كتب. كم عدد الكتب الإجمالي؟,12
إذا كان لديك 12 نوعًا من الزهور، وكل نوع يحتوي على 20 زهرة، واحتجت 10 زهور من كل نوع، كم زهرة تبقى لديك؟,120
إذا كان لديك 80 كتاباً ووهبت ربعها لمكتبة المدرسة، كم كتاباً سيبقى معك؟,60
إذا كان لديك 4 صناديق، وكل صندوق يحتوي على 8 كرات، ثم أضفت 4 كرات إلى كل صندوق، كم يصبح عدد الكرات الإجمالي؟,48
كم عدد الأصابع في اليدين معاً؟,10
لدي 6 حبات عنب و2 تفاحات. كم عدد الفواكه؟,8
إذا كان لديك 12 صحنًا، وكل صحن يحتوي على 3 قطع من الحلويات، كم قطعة حلويات لديك؟,36
إذا كان لديك 3 برتقالات وأخذت منها واحدة، كم تبقى لديك؟,2
إذا كان لديك 220 ريالاً، وأنفقت 120 ريالاً، كم ريالاً سيبقى لديك؟,100
إذا كان لديك 14 طائراً وأطلق سراح 6 منها، كم طائراً سيبقى لديك؟,8
إذا كان لديك 20 حقيبة، وكل حقيبة تحتوي على 6 كتب، وكل كتاب يحتوي على 250 صفحة، كم عدد الصفحات الإجمالي؟,-27680
كم عدد اللاعبين في فريق كرة القدم؟,11
إذا كان لديك 90 تفاحة، وأعطيت 30 تفاحة لكل صديق من 3 أصدقاء، كم تفاحة تبقى لديك؟,0
إذا كان لديك 38 كتاباً، وأعطيت 33 منها لأصدقائك، كم كتاباً سيبقى لديك؟,5
إذا كان لديك 21 تفاحة، وأكلت 16 منها، كم تفاحة ستبقى لديك؟,5
إذا كان لديك 120 ريالاً، وأنفقت 70 ريالاً، كم ريالاً سيبقى لديك؟,50
لديك 2 دراجات هوائية وأعطيت واحدة لأخيك. كم دراجة بقيت لديك؟,1
إذا جمعت 3 أرباع 12 مع ربع 16، كم يصبح المجموع؟,15
إذا كان عمر الجد 72 سنة، وكان عمره عند ولادة ابنه 3 أضعاف عمره عند ولادة حفيده، وكان عمره عند ولادة حفيده 54 سنة، فكم عمر الابن الآن؟,36
إذا كان لديك 6 مجموعات من الكرات، وكل مجموعة تحتوي على 5 كرات، وكل كرة تحتوي على 7 ألوان، كم عدد الألوان الإجمالي؟,210
ما هو العدد الذي إذا طرحته من 100 يصبح الناتج 75؟,25
كم عدد الزوايا في 7 مثلثات؟,21
إذا كان لديك 18 كتاباً ووزعتها بالتساوي على 3 رفوف، كم كتاباً سيكون على كل رف؟,6
لديك 5 قوارير ماء، وكل قارورة تحتوي على 4 لترات، وإذا استخدمت 2 لترات من كل قارورة، كم لتر ماء يتبقى؟,10
إذا كنت تملك خمس أقلام ورصاصتين، كم عدد الأقلام؟,7
إذا كان لديك 90 تفاحة، وأعطيت 30 تفاحة لكل من 3 أصدقاء، كم تفاحة تبقى لديك؟,0
إذا كان لديك 500 ريال، وأنفقت 400 ريال، كم ريالاً سيبقى لديك؟,100
إذا كان لديك 150 قطعة نقدية من فئة 1 ريال وأعطيت ثلث هذا العدد لأخيك، كم قطعة نقدية ستبقى لديك؟,100
لدي خمس أقلام ودفترين. كم عدد الأشياء التي لدي؟,7
إذا كان لديك 17 ريالاً، وأنفقت 12 ريالاً، كم ريالاً سيبقى لديك؟,5
إذا كان لدي 8 طاولات، وكل طاولة تحتوي على 6 كراسي، كم عدد الكراسي الإجمالي؟,48
إذا ضاعفت العدد 12 ثم أضفت إليه 15، كم يصبح العدد؟,39
إذا كان لديك 100 ريال واشتريت 4 كتب بقيمة 20 ريال لكل كتاب، كم ريالًا تبقى معك؟,20
إذا كان لديك 11 تفاحة، وأكلت 6 منها، كم تفاحة ستبقى لديك؟,5
لديك 14 صندوقًا، وكل صندوق يحتوي على 9 كتب، وكل كتاب يحتوي على 100 صفحة. كم عدد الصفحات الإجمالي؟,-5072
كم عدد الأرجل في 4 طيور و6 خيول؟,32
إذا كان لديك 4 أرفف، وكل رف يحتوي على 6 كتب، كم عدد الكتب لديك؟,24
