category,instruction,response
storytelling,سمعت بحكاية الدار اللي تضحك في قلب نهج زرقون بالمدينة العربي؟,يحكيو على دار قديمة ومسكرة في نهج زرقون بالمدينة العربي بتونس، العباد اللي تتعدى منها نص الليل تسمع حس ضحك جماعي وتصفيق وكأنه ثمة سهرية كبيرة للداخل، بالرغم اللي البيوت مهجورة وعندها سنين بلاش سكان. واحد مغامر قرر يدخل يثبت، لقى مائدة معبية بافخر انواع الماكلة التونسية الفاوحة وريحة البخور والمسك تملأ الدار، اما ما لقى حتى حد. يقولوا هما 'عمار الدار' من الجنون الطيبين عاملين سهرية، واللي يدخل يقطع عليهم الجو يلقى روحه مطرود في الزنقة في رمشة عين بلاش ما يشعر كيفاش خرج، ومن وقتها الناس تمشي بجنب الحيط وتتعدى ساكتة.
everyday_conversation,احكيلي على جو الشنوة والبحر في الصيف بجهة المرسى.,الصيف في المرسى عنده نكهة خاصة ما تلقاها في حتى شيرة اخرى. العباد الكل تمشي لـ 'سيدي عبد العزيز' باش تبحبح في الماء الصافي، وبعد العوم لازم كعبة 'شنوة' باردة تشره على الشط. العشوية تحلى بالتمشية في 'النيزة' ولا القعدة في 'الصفصاف' تحت الشجر الظليل. تلقى بياع المشموم يدور بضحكته، وبياع البمبالوني السخون اللي يفوح بالزيت والسكر. اللمة التونسية في المرسى فيها مزيج بين ريحة البحر القوية، وضحكة الصغار، وبنة الغلة متاع الصيف اللي تخليك تنسى تعب العام كامل وتستمتع بالدنيا.
storytelling,احكيلي بالتفصيل على معركة بنزرت وعيد الجلاء.,في جويلية عام 1961، تونس عاشت لحظات تاريخية فارقة في 'معركة بنزرت'. الشعب التونسي قرر انه ما عادش يرضى بوجود جندي فرنسي واحد على ارضه، وخرجوا الالاف بصدور عارية يواجهوا في الطيارات والمدافع والبارود. كانت معركة غير متكافئة بالمرة، وسال دم برشا شهداء في قنال بنزرت وفي الشوارع، اما العزيمة كانت اقوى من الرصاص. في الاخر، فرنسا اضطرت تنسحب وتخرج نهائيا من قاعدة بنزرت العسكرية يوم 15 اكتوبر 1963. بنزرت قعدت من وقتها تسمى 'مدينة الجلاء' ورمز حي للتضحية والوطنية التونسية اللي ما تنكسرش.
storytelling,شنوة قصة سلطان المدينة والفقير الصادق والحكمة اللي فيها؟,سلطان ضيع اغلى خاتم عنده في بير غريق، وطلب من الناس الكل يحاولوا يجبدوه ومقابل هذا يعطيهم وزن الخاتم ذهب. برشا ناس طماعة جربوا وغرقوا، لين جاء راجل فقير لابس جبة مقطعة، سمى بسم الله ونزل للبير بكل هدوء وجاب الخاتم. السلطان فرح وحب يعطيه المال، اما الفقير رفض وقالو 'يا سلطان، انا خدمت بلادي بصدق وما حاجتيش بمقابل على حاجة واجبة'. السلطان بهت في عفة نفسه وولى يستشير فيه في كل كبيرة وصغيرة، وعرف اللي الحكمة الحقيقية والقدر موجودين تحت الجبة البسيطة مش في القصور، وعاشوا لثنين في خدمة الشعب.
storytelling,ثمة حكاية تخوف على القهوة المهجورة في طريق باجة، تعرفها؟,ثمة قهوة قديمة ومصددة في طريق باجة، يقولوا العباد اللي تتعدى في الليل تسمع حس كراسي تتجبد وحس طرح 'شكبة' حامي برشا وعياط وتنبير، بالرغم اللي الباب مسكر بقفل كبير من زمان. واحد شجاع دخل يثبت، لقى فناجين تاي سخونة تطلع في البوخار وكأنه مولاها توه صبها، وريحة شيشة تفاح، اما ما ثمة حتى كائن حي لداخل. هرب الراجل ومن وقتها يقولوا اللي الجنون سكنت البلاصة خاطر كانت مهجورة سنين، وقعدت القهوة هذيك تسمى 'قهوة الجنون' وما يقربلها حد بعد صلاة المغرب.
everyday_conversation,احكيلي على طقوس الفطور الصباحي التونسي كي يبدأ نهار سوق.,فطور الصباح نهار السوق لازم يكون حامي ويعطيك الجهد باش تدور وتقضي. اول حاجة تعملها هي تمشي لـ 'الفطائري'، تاخذ كعبات 'سفنج' بالزيت يعملوا الكيف، ولا كعبة 'بمبالوني' منقوشة بالسكر. وثمة اللي يحب 'صحن لبلابي' بالكمون والهريسة من الصباح باش يسخن بدنه. وتزيد معاهم كاس تاي منعنع ولا قهوة حليب بالزهر تفهق. هذا الفطور هو اللي يخليك تدور في السوق بكل نشاط، تڨحر للسلعة وتخلص قضيتك وتناقش في الاسوام وانت راسك مرفوع وشبعان.
storytelling,احكيلي على رباط المنستير والذكريات التاريخية اللي يحملها.,الرباط هو حصن عظيم بناه المرابطين في القرن الثامن باش يحميو الساحل التونسي من هجمات الاعداء. هو مش مجرد حجر، هو قلعة فيها صوامع عالية كانت تستعمل لمراقبة البحر ليل ونهار. كي تمشي لغادي، تشم ريحة التاريخ في كل تركينة، وتحس بقوة الناس اللي سكنوا فيه ودافعوا على تونس لقرون. الرباط تو ولى معلم سياحي عالمي، وتصورت فيه برشا افلام كبيرة كيف 'مسيح الناصرة'، وقعد شامخ كشاهد على عظمة المعمار التونسي الاصيل وقدرته على مقاومة الزمان.
storytelling,شنوة حكاية الذيب اللي حب يحج والعبرة منها؟,يحكيو على ذيب كبر في العمر وتعب من الصيد والمشاكل، لبس جبة بيضاء وعمل سبحة وقال 'انا تبت لربي وباش نمشي نحج ونغسل ذنوبي'. الحيوانات الكل صدقوه ومشاو معاه في الرحلة. في وسط الثنية جاع الذيب، وبدا ياكل فيهم واحد واحد في الليل ويقول 'هذا قربان لربي باش تقبل حجتي'. السلحفاة كانت فايقة وبدأت تلاحظ اللي الجماعة تنقص، هربت وقالت 'الذيب يغير شعره اما طبعه ما يتبدلش'. العبرة هي 'رد بالك من اللي يتغطى بالدين وهو ظالم'، خاطر اللي في قلبه الشر ما يتبدلش بسهولة.
storytelling,سمعت بحكاية الخيال اللي يشطح في غابات سليانة الوعرة؟,يحكيو اهالي سليانة على بلاصة مخبية وسط الغابات الكثيفة، كي يبدأ الضو متاع الغروب يختفي، تظهر خيالات متاع ناس طوال برشا يشطحوا ويغنيوا بمواويل قديمة وصوت واطي يخلي اللحم يرعش. يقولوا هذي ارواح ناس من العصور القديمة كانوا يعيشوا في الجبال وقعدت طقوسهم تتكرر كل ليلة في نفس البلاصة. اللي يدخل وسطهم بلاش ما يشعر يغيب عن الوعي ويفيق الصباح لقى روحه تحت شجرة بعيدة، وكأنه كان في حلم طويل، ومن وقتها العباد تخاف تبات في هاك المنطقة.
everyday_conversation,احكيلي على ستريس القراية والجو في الديار التونسية وقت الامتحانات.,وقت المناظرات والامتحانات الوطنية في تونس، الدار تولي كيف الثكنة العسكرية ولا فيها حالة طوارئ. الوالدة تبدأ 'سكر التلفزة'، 'قوم اقرأ'، ونهار كامل وهي توكل فيك في الزبيب والفاكية باش 'تذكى'. التلميذ يولي وجهه اصفر من السهر والتمارين اللي ما توفاش. ليلة النتيجة، يبدأ الرعاش والانتظار قدام الكمبيوتر ولا نستناو في 'الميساج'. وكي تطلع كلمة 'Admis'، الدار تشعل بالزغاريد والكسكسي يحضر للاحباب، وتنسى التعب الكل في لحظة فرحة النجاح اللي مفيش كيفها.
storytelling,احكيلي خرافة السلحفاة والارنب بالديرجة التونسية واللمسة الخاصة.,الارنب كانت نافخة روحها برشا، مشات للسلحفاة وقالتلها 'يا رزينة، انا اسرع وحدة في الغابة ونجم نسبق الريح'. السلحفاة بكل هدوء تحداتها في سباق طويل. الارنب في نص الطريق شافت شوية حشيش بنين، اكلت لين شبعت وقالت 'خليني نضرب قيلولة، السلحفاة مازالت بعيدة'. السلحفاة قعدت تمشي دبة دبة، صبرت وتحملت السخانة لين خلطت لخط الوصول. الارنب قامت تجري لقتها سبقتها. العبرة هي 'الخدمة بصبر واستمرار خير من الزربة والنفخة الكذابة'، والرزانة هي اللي توصلك لبر الامان في الاخر.
storytelling,ثمة حكاية على السبيطار المسكون في تونس العاصمة، صحيحة؟,ثمة جناح قديم ومعزول في سبيطار 'شارل نيكول' يقولوا مسكون بروح ممرضة كانت تحب مرضاها برشا وماتت وهي تخدم غادي زمان. المرضى اللي يباتوا وحدهم يحكيو اللي ساعات في نص الليل يجي شكون يغطيهم بكل حنان ولا يعطيهم شربة ماء والفرملية متاع الليل ما يكونوش موجودين. هي يقولوا روح طيبة وما تضر حد، اما المنظر متاعها وهي تتنقل بلاش حس بين البيوت يخوف اللي ما يعرفش حكايتها، وقعد الجناح هذاك ديما يثير الفضول والخوف في نفس الوقت.
everyday_conversation,احكيلي على التبحبيحة في بحر طبرقة والمرجان والجو الغابي.,طبرقة هي لؤلؤة الشمال التونسي، وين الجبل يعانق البحر. بحرها صافي وكيف البلور، وغاباتها خضراء تشرح القلب. كي تمشي لغادي، لازم تعوم بين الحجر وتتفرج في المرجان الغالي اللي يتباع في الحوانيت. وفي العشوية، تقعد في 'الابار' (Les Aiguilles) تتفرج في الغروب وتشم ريحة الحوت المشوي على الجمر. جو طبرقة يخليك تنسى الهموم وتعيش لحظات سحرية بين الطبيعة الخلابة وهدوء المدن الساحلية، وهي احسن بلاصة للي يحب يهرب من زحمة العاصمة.
storytelling,احكيلي على قصر اولاد سلطان بتطاوين والهندسة الغريبة متاعه.,قصر اولاد سلطان هو تحفة معمارية في قلب تطاوين، مبني بطريقة ذكية برشا على شكل غرف (غورف) فوق بعضها توصل حتى لربعة طوابق. كان يستعمل زمان لتخزين القمح والشعير والزيت وحمايته من الغزوات والسرقة. الهندسة متاعه عجيبة وفريدة لدرجة اللي مخرجين السينما العالمية كيف جورج لوكاس استعملوه كديكور في فيلم 'Star Wars'. هو فخر لاهل الجنوب ولتاريخ تونس المعماري، ويوريك كيفاش التونسي كان ديما يلقى حلول ذكية باش يتأقلم مع الطبيعة القاسية.
storytelling,شنوة قصة الغراب اللي حب يقلد مشية الحمامة؟,يحكيو على غراب شاف حمامة تمشي بمشية رشيقة ومنظمة، عجبته الحكاية وحب يقلدها باش يولي 'مزيان'. بدا ينقز ويحاول يبدل خطوته ويحرك في جنحاته بطريقة غريبة، اما ما نجمش يخلط لزينها. جاء يرجع لمشيته الاصلية متاع الغراب، لقى روحه نسيها من كثرة التقليد! رصاتله يمشي مشية هجينة تضحك، لا هو غراب ولا هو حمامة. العبرة هي 'اللي يقلد الناس في قشورهم ويحب يولي حاجة مش متاعه، يضيع اصله وما يوصل لشي'، والاصالة هي اهم حاجة عند البنادم.
storytelling,سمعت بحكاية الرجل بلاش راس اللي يظهر في قنطرة بنزرت؟,يقولوا في الليالي المطرية اللي فيها رعد وبرق، يظهر راجل فوق قنطرة بنزرت لابس قشابية صوف قديمة وما عندوش راس. يوقف الكراهب ويطلب من المارة سجارة بصوت يخرج من صدره. اللي يعطيه، السجارة تطير في الهواء وتتحرق في ثانية، وهو يغيب مع الضباب والريح. يحكيو اللي هو جندي مات في الحرب العالمية الثانية وقعدت روحه حايرة في المكان تلوج على شكون يونسها. الشوافرية اللي يعرفوا الحكاية ديما يسرعوا كي يتعداو من غادي في الليل.
everyday_conversation,احكيلي على تحضيرات العيد الصغير والحلويات واللمة في الكوجينة.,قبل العيد بجمعة، الديار التونسية تولي كيف خلايا النحل. ريحة المقروض والبقلاوة والغريبة تعبق في النهج كامل. النساء يتلموا عند الكبيرة فيهم، وحدة تعجن ووحدة تنقش، والصغار يستناو في 'المحكوكة' والطرف اللي يفضل. ليلة العيد، الزينة تحضر، والكسوة الجديدة تتعلق فوق السرير، والناس الكل تبدأ تستنى في هلال الفرحة. العيد في تونس هو ريحة الفرحة والحلويات اللي مخدومة بالحب، واللمة اللي تجمع العايلة بعد شهر كامل من الصيام والتعبد.
storytelling,احكيلي خرافة الحداد والجن والسر اللي خذاه منه.,حداد زوالي وعاقل دخل لمغارة مهجورة يلوج على الفحم، لقى جن محبوس تحت مطرقة حديد كبيرة. خرجه الحداد وسمر مسمار الامان، الجن فرح وقاله 'اطلب واتمنى'. الحداد طلب مطرقة ما تتعبش وايد ما تتحرقش. الجن اعطاه سر صنعة سحرية خلاته يصنع من الحديد عجب، وسيوف ودروع ما تتكسرش. الحداد ولى غني ومشهور في المملكة كاملة، اما قعد ديما يخدم بقلب صافي ويعاون في الفقراء، وعرف اللي 'الصنعة في الايد هي الامان الحقيقي من الفقر والزمان'.
storytelling,ثمة حكاية على البير المهجور في جربة اللي يولي ماءه عسل؟,في وسط غابة نخيل بعيدة في جربة، ثمة بير قديم ومسكون يقولوا ماءه يولي حلو كالعسل ليلة واحدة في العام، وهي ليلة القدر. اما البير هذا يعس عليه 'ملك الجن' وجنوده. اللي يدخل يلوج على الماء في هاك الليلة بطمع، الجن يغلطه في الثنية ويخليه يدور حول البير لين يطلع الصباح وهو في نفس البلاصة. هي حكاية يحكيوها الكبار للصغار باش يعلموهم اللي الرزق يجي بالخدمة مش بالطمع في الغيبيات، وان بركة ربي ما تجيش للي قلبه معبي بالشر.
everyday_conversation,احكيلي على الڨعدة في القهوة العربي وطرح الشكبة والجو التنبيري.,القهوة العربي هي الرئة متاع الحومة التونسية. شيشة وتفاح، وكاس تاي منعنع باللوز، وطرح 'شكبة' حامي بين زوز صحاب قدم. العياط 'بونتو!' و'كوزة!'، والتنبير ما يوفاش على كل ورقة تطيح. القهوة هي البلاصة اللي تتحل فيها مشاكل العالم، من السياسة للكورة لاخر اخبار الحومة. الجو هذاك فيه برشا صدق وبساطة، وهو المتنفس الوحيد للرجال بعد نهار خدمة طويل ومرهق، وين يفرغوا قلوبهم ويضحكوا من اعماقهم.
storytelling,احكيلي على جامع الزيتونة المعمور ودوره العلمي في افريقيا.,جامع الزيتونة في مدينة تونس العتيقة مش مجرد بلاصة للصلاة، هو كان اول جامعة علمية في العالم العربي والاسلامي بعد القرويين. خرج علماء وفطاحلة كبار كيف العلامة ابن خلدون. الطلبة كانوا يجيوه من كل شيرة في افريقيا والاندلس باش يقراو اللغة والفقه والفلك والطب. هو منارة تونس اللي ضوات على القارة كاملة وقعدت شامخة لقرون تحمي في الهوية التونسية والدين السمح. كي تدخل للزيتونة، تحس بهيبة العلم وقدسية المكان اللي قراو فيه اجدادنا.
storytelling,شنوة قصة الاسد والارنب الذكية بنسخة تونسية وفكاهية؟,اسد كان ظالم ومسلط على حيوانات الغابة، كل يوم ياكل واحد. جاء دور الارنب، مشاتله مخر وهي تنهج وقالتله 'يا ملك الزمان، ثمة اسد اخر في البير قالي هو الملك الحقيقي وسبك'. الاسد غضب وشاطت فيه النار، مشى للبير ونظر لداخل، شاف خياله يحسابه عدوه، نڨز باش يضربه يا خي غرق ومات. الارنب رجعت تضحك وسلكت الغابة بذكائها و'خبثها' المحمود، وعلمتهم الكل اللي 'العقل يوزن جبل من القوة العضلية'، وان الظلم نهايته ديما في البير.
storytelling,سمعت بحكاية المرا اللي تغني فوق اسوار قلعة الكاف؟,يحكيو اهالي الكاف العالية، اللي في الليالي اللي فيها ريح قوي، تسمع صوت مرا تغني مواويل حزينة تقطع القلب خارجة من القلعة. يقولوا هي روح اميرة اندلسية هربت من بطش الغزاة وجات للكاف وماتت بالڨهرة والوحش على بلادها. الصوت يطلع من بين الحجر القديم والخنادق ويخلي الواحد يحس برعشة في بدنه وكأنه يحس بوجيعتها. القلعة قعدت شاهدة على قصص الحب والحرب، وصوت هاك المرا هو اللي يذكر الناس بتاريخ الكاف المجيد.
everyday_conversation,احكيلي على بنة المرڨاز والهرقمة في اسواق تونس القديمة.,كي تمشي لوسط البلاد في تونس، تشم ريحة المشاوي والهرقمة اللي تغلي في الطناجر الكبيرة. صحن هرقمة معمر بالثوم والكمون والليمون ينحي عليك برد الشتاء ويقويلك عظامك. والكسكروت مرڨاز مشوي على الفحم بالهريسة العربي والبصل والمعدنوس والطن، هذيكا هي البنة اللي تخليك تشبع وتشيخ بسوم رخيص. الماكلة الشعبية في تونس فيها بركة وطعم ما تلقاه في حتى ريستوران غالي، خاطرها مخدومة 'على عينك يا تاجر' وبنفس تونسي اصيل.
storytelling,احكيلي خرافة الحطاب والجرة والامانة اللي رجعت لمالكها.,حطاب زوالي لقى جرة معبية بالذهب مخبية تحت عروق شجرة قديمة. الشيطان قاله 'خذها وعيش حياتك'، اما هو تفكر اللي الارض مش متاعه. خلى الجرة ومشى لمالك الارض وقاله على الامانة. المالك بهت في صدق الحطاب وقسم معاه الذهب بالتساوي وقاله 'رزقك جاك ليدك'. الحطاب عاش في خير وهناء وبنى دار لولاده، وتعلم اللي 'رزق الحلال يبارك فيه ربي ويطول'، وان الامانة هي اللي تجيب الغنى الحقيقي للقلب والبدن.
storytelling,ثمة حكاية على السكة القديمة في قفصة والقطار اللي يظهر ويختفي؟,ثمة سكة قطار قديمة في ضواحي قفصة ما عادش يخدم فيها حد، يقولوا في الليالي الضلمة تسمع حس 'تران' جاي من بعيد يزفر والضو متاعه يشعل ويطفي بقوة. اللي يقرب يثبت يلقى السكة فارغة ومصددة والبرد يدور بيه من كل شيرة. يحكيو اللي هو قطار الفوسفاط اللي انقلب في حادثة كبيرة زمان وقعدت الحادثة تتعاود كخيال مسجل في المكان. العمال اللي يخدموا غادي ديما يوصوا بعضهم باش ما يوقفوش بجنب السكة هذيك في نص الليل.
everyday_conversation,احكيلي على اللمة في الحمام العربي واجواء النساء والتحضيرات.,الحمام العربي عند النساء هو نهار وطني بامتياز. يمشيو بالقفف المعمرة بالبخور، والطفل المخلط بالورد، والسواك. غادي تبدأ الحكايات والنيبة، وشكون خطبت وشكون عرست، والضحك يملأ القاعات السخونة. الحكّان والتلييف يخرجهم يلمعوا وكأنهم ولدوا من جديد، وبعد يقعدوا في 'البيت الباردة' يشربوا التاي ويبرودوا. الحمام هو المتنفس الاجتماعي اللي يجدد الطاقة ويخلي الحراير يرتاحوا من تعب الدار والخدمة في جو معبي بريحة النظافة والاصالة.
storytelling,احكيلي على برج خديجة في الشابة وقصة الحب والوفاء اللي وراه.,برج خديجة في مدينة الشابة يحكي قصة اميرة مزيانة كانت تستنى في حبيبها اللي مشى للبحر وغاب عليها سنين. كانت تطلع كل يوم لراس البرج وتستنى السفن، وبنت البرج هذاك باش تقعد قريبة من الموج. البرج قعد شاهد على الوفاء والصبر التونسي، وتو ولى معلم تاريخي يزوروه العشاق والارواح الهائمة. هو رمز للمرا التونسية الصنيديدة اللي قلبها كبير وصحيح كيف حجر البرج اللي واجه الريح والبحر وما طاحش، وقعد يذكرنا اللي الحب الحقيقي ما يموتش.
storytelling,شنوة حكاية السرار والنملة بنسخة تونسية وعبرة للي يتهاون؟,السرار الصيف كامل وهو يغني ويشطح تحت كرمة، يستهزأ بالنملة اللي تلم في القمح وتخدم تحت الشمس. كي جاء الشتاء والبرد القارس، السرار جاع ومشى يدق على باب نمالة يطلب في كعبة قمح. قالتله 'شنوة كنت تعمل في الصيف؟'. قالها 'كنت نغني'. قالتله 'باهي، تو برا اشطح في الشتاء!'. تعلم اللي 'الخدمة في وقتها تجيب، واللعب في وقت العمل يضيع المستقبل'، واللي ما يعمرش داره في الصيف بالخدمة، باش يبرد ويجوع في الشتاء بلاش رحمة.
storytelling,سمعت بحكاية الرجل اللي يحكي مع الحجر في غرف مطماطة؟,في مطماطة الارض العجيبة، يحكيو على راجل شيباني يسكن في غار غريق، يقولوا يسمع كلام الحجر ويعرف وين مخبي الماء تحت الارض. واحد طماع حب يسرق سره، تسلل للغار في الليل لقى الراجل يحكي مع حيط والحيط يجاوب فيه بصوت يشبه للرعد. السارق هرب ومن وقتها الناس عرفت اللي مطماطة ارض مسكونة باسرار الاولياء والصالحين، وان الحجر غادي عنده لسان ما يفهمه كان اللي قلبه نظيف ومرتبط بالارض.
everyday_conversation,احكيلي على الملاوي السخونة وكيفاش هي الوجبة المنقذة للتونسي.,كعبة ملاوي سخونة تخرج من 'الطاجين' عند الملاويست، معمرة بالهريسة العربي والجبن والتن والعظم والمعدنوس. هذي هي الوجبة اللي تسلكها لكل تونسي جاع في نص النهار ولا في الليل. القرمشة متاع العجينة المورقة وبنة الحار والزيت تخليك تنسى تعب الخدمة وتكمل نهارك بناشط كبير. الملاوي هي 'الفاست فود' التونسي اللي مفيش كيفه في العالم، فيها بركة وشبع وسوم يناسب الناس الكل، وقعدت هي الملكة في الشوارع التونسية.
storytelling,احكيلي خرافة القطوس والكلب وعلاش ديما يتعاركوا من قديم الزمان؟,يقولوا زمان القطوس والكلب كانوا اعز صحاب، والكلب اعطى امانة (عقد ذهب) للقطوس باش يخبيهوله. القطوس طلع فوق الحيط وضيع العقد في شق غريق وما نجمش يجبده. الكلب غضب وبدا ينبح ويلوج عليه، والقطوس خاف وهرب فوق السطح. ومن هاك النهار والكلب يلوج في القاعة والقطوس يهرب للعالي، وقعدت العركة بيناتهم تاريخية على خاطر امانة ضاعت بقلة مسؤولية، وعلمتنا اللي 'الامانة هي اللي تحفظ الصحبة'.
storytelling,ثمة حكاية على الضو اللي يرقص فوق بحر المهدية، تعرفها؟,صيادة المهدية القدام يحكيو على ضو ازرق عجيب يظهر فوق الماء في الليالي اللي مفيهاش قمر. الضو هذا يبدأ يرقص ويقرب من الشقوفات (القوارب). اللي يتبعه بقلب صافي يلقى روحه في بلاصة معبية بالحوت السمين، اما لازم ما يحكي لحد على اللي شافه. يقولوا هذي 'عروسة البحر' تعاون في الصيادة الزواولة اللي نيتهم طيبة ويخدموا بعرق جبينهم. هي اسطورة تخلي البحار ديما مرتبط بالبحر ويحترم اسراره الغريقة.
everyday_conversation,احكيلي على التحضير للباك والضغط النفسي والعائلي اللي يصير.,عام الباك في تونس هو عام طوارئ وطنية في كل دار. التلفزة تتسكر، والخروج يتقطع، والطاولات تولي معبية بالمواضيع والاصلاح والكتب. الوالدة تبدأ 'يا وليدي اقرأ راني نستنى في الفرحة'، والوالد يوفر في كل شيء. نهار 'المساج'، القلوب تاقف واليدين ترعش. وكي تجي كلمة 'Admis'، الفرحة ما تتوصفش بالكلمات، والزغاريد تملا النهج والحلويات تتوزع. الباك هو المحطة اللي تغير حياة التونسي، وهو العيد الكبير لكل عايلة سهرت وتعبت مع ولدها.
storytelling,احكيلي على مدينة دڨة الاثرية وعلاش هي مميزة في العالم؟,دڨة هي من احسن واكمل المدن الرومانية المحفوظة في العالم كامل، وموجودة في شمال تونس. فيها مسرح عظيم يهز الاف الناس، ومعابد كيف 'الكابيتول' تحكي على عظمة حضارات سكنت بلادنا. كي تمشي لغادي وتمشي في شوارعها المرصوفة بالحجر، تحس روحك رجعت بالزمان لالفين سنة لثالي وتسمع حس الناس في الاسواق القديمة. دڨة هي شاهد حي على اللي تونس كانت ديما ارض للابداع والمعمار اللي يقهر الزمان وقعدت شامخة تتحدى الريح والمطر.
storytelling,شنوة قصة السلحفاة اللي حبت تطير والدرس اللي خذاته؟,سلحفاة شافت نسر يرفرف في العالي، طمعت وقالتله 'هزني معاك خليني نشوف الدنيا'. هزها النسر للسماء بين جنحاته، وهي من فرحتها بدأت تفتخر بروحها وسيبت النسر باش تحاول تطير وحدها، يا خي طاحت من العالي وتكسرت قشرتها. تعلمت اللي كل واحد وعيشته اللي تناسب بدنه، وان الرضا باللي عندك يحميك من الطيحات اللي توجع. ومن وقتها وقشرة السلحفاة فيها شقوق تحكي قصة وجيعة قديمة ودرس في القناعة ما يتنساش.
storytelling,سمعت بحكاية البيت اللي يبكي بجنب سور المنستير؟,ثمة بيت مهجور بجنب سور المنستير القديم، يقولوا في الليالي الماطرة تسمع صوت بكاء طفل صغير جاي من تحت القاعة وكأنه يلوج على امه. يحكيو اللي ثمة كنز كبير مخبي غادي، والطفل هو 'الرصد' اللي يعس عليه بامر من السحرة القدام. برشا ناس طماعة حاولوا يحفروا اما يخرجلم برد يوقف الدم في العروق ويهربوا مرعوبين من صوت البكاء اللي يقطع القلب وما يسكتش لين يطلع الصباح. قعد البيت هذاك لغز يحير في السكان لتو.
everyday_conversation,احكيلي على الكسكسي بالعصبان وجو ليلة نص رمضان في ديارنا.,ليلة نص رمضان في تونس عندها طعم خاص وبركة كبيرة. لازم الكوجينة تشعل بالريحة الفاوحة متاع 'الكسكسي بالعصبان' المليان بالخضرة والفواح. الدار تتبخر بالجاوي والمسك، واللمة تكبر بين الاقارب والجيران. بعد الشقان، السهرية تحلى بالتاي المنعنع والحلويات والحديث اللي ما يوفاش عن ذكريات زمان. هي ليلة للرحمة والصلة، والتوانسة يقدروها برشا ويحضرولها احسن ما عندهم من ماكلة وزينة باش يعبروا على فرحتهم بالشهر الفضيل.
storytelling,احكيلي خرافة الراجل والطير الحكيم والنصايح الثلاثة.,راجل صياد صاد طير غريب ومزيان، الطير نطق وقاله 'سيبني ونعطيك ثلاثة نصايح يغنوك عن الذهب'. الراجل سيبه، قاله الطير 'النصيحة الاولى: ما تندمش على اللي فات خاطر البكاء ما يرجعوش. الثانية: ما تصدقش المستحيل اللي ما يقبلوش عقلك. الثالثة: ما تلوجش على اللي مش ليك باش ما تتعبش'. الراجل فهم الدرس وعاش باقي حياته مرتاح البال وراضي بلي عنده، وعرف اللي الحكمة الصادقة هي اغلى صيد ينجم الواحد يربحه ويورثه لولاده.
storytelling,ثمة حكاية على خيال الفارس في طريق القيروان، تحب تسمعها؟,في الثنية الطويلة بين سوسة والقيروان، يحكيو الشوافرية على فارس يظهر في نص الليل راكب حصان ابيض يجري كيف البرق بجنب الكراهب وما يتعبش. الفارس هذا يختفي فجأة كي توصل لمدخل المدينة العربي. يقولوا هذا واحد من جنود الفتوحات الاسلامية قعدت روحه تحرس في الثنية وتأمن في المسافرين لتو. الناس اللي يسوقوا في الليل يستبشروا بيه ويقولوا اللي يشوفه ثنيته تكون مبروكة ومحمية من الحوادث والمشاكل، وقعدت حكايته تتنقل بين الاجيال.
everyday_conversation,احكيلي على جو الماتشوات في القهاوي الشعبية والتعصب الكروي اللذيذ.,الماتش في تونس هو حالة طوارئ قصوى في كل قهوة شعبية. الكراسي تتنظم قدام التلفزة من قبل ساعة، والعياط 'ڨول!' يوصل لاخر الحومة ويحرك الراقدين. التنبير بين 'الترجية' و'الافريقية' و'النجم' ما يوفاش، والجو يبدأ مشحون بالضحك والتوتر في نفس الوقت. القهوة تولي ستاد صغير بصياحه وانفعالاته، واللمة هذيك هي اللي تعطي للكورة في تونس طعمها الخاص، وين الناس تنسى همومها وتتوحد وراء الوان جمعيتها بصدق وحماس كبير.
storytelling,احكيلي على ساحة القصبة وعلاش هي قلب تونس النابض؟,ساحة القصبة هي رمز للدولة ورمز لنضال الشعب التونسي عبر العصور. شهدت اكبر الاعتصامات والتحركات الشعبية اللي غيرت مجرى تاريخ البلاد في برشا مناسبات. هي البلاصة اللي يتجمع فيها الصغير والكبير باش يوصلوا صوتهم للحكام ويطالبوا بحقوقهم. تاريخ القصبة معجون بريحة الحرية والكرامة، وقعدت الساحة متاعها شاهدة على ارادة التوانسة اللي ما ترضى بالضيم، وهي اليوم معلم يذكرنا ديما اللي السيادة هي للشعب وحده ولا غيره.
storytelling,احكيلي خرافة امك تانغو وعادة طلب المطر في زمان الجفاف.,يا سيدي يا بن سيدي، 'امك تانغو' هي عروسة مصنوعة من اللوح والقماش القديم، يصنعوها الصغار في وقت الجفاف كي تبدأ الارض عطشانة. يدوروا بيها من دار لدار في النهج ويغنيوا بصوت واحد 'امك تانغو يا نساء، طلبت ربي عالشتاء'. الناس يخرجوا فرحانين ويصبوا عليهم الماء ويوزعوا عليهم الفول والقمح المنفخ. هي عادة تونسية قديمة برشا، يلوجوا بيها على رحمة ربي وبركته باش الارض تخضر والزرع ينبت والخير يعم على الناس الكل، وفيها برشا براءة وحب للطبيعة.
